Date,Hour,Pris,Område
2024-10-04,11,66.54299999999999,NO1
2024-10-04,12,58.154,NO1
2024-10-04,13,54.917,NO1
2024-10-04,14,53.223,NO1
2024-10-04,15,52.078,NO1
2024-10-04,16,49.238,NO1
2024-10-04,17,51.085,NO1
2024-10-04,18,57.464,NO1
2024-10-04,19,93.453,NO1
2024-10-04,20,143.778,NO1
2024-10-04,21,57.184000000000005,NO1
2024-10-04,22,53.912,NO1
2024-10-04,23,49.764,NO1
2024-10-04,24,49.063,NO1
2024-10-05,1,46.831,NO1
2024-10-05,2,46.411,NO1
2024-10-05,3,46.224,NO1
2024-10-05,4,46.002,NO1
2024-10-05,5,45.897000000000006,NO1
2024-10-05,6,46.201,NO1
2024-10-05,7,46.878,NO1
2024-10-05,8,46.96,NO1
2024-10-05,9,47.918,NO1
2024-10-05,10,49.04,NO1
2024-10-05,11,49.916,NO1
2024-10-05,12,49.846,NO1
2024-10-05,13,49.811,NO1
2024-10-05,14,45.838,NO1
2024-10-05,15,48.199,NO1
2024-10-05,16,47.906,NO1
2024-10-05,17,48.187,NO1
2024-10-05,18,48.105,NO1
2024-10-05,19,51.529,NO1
2024-10-05,20,49.46,NO1
2024-10-05,21,47.871,NO1
2024-10-05,22,47.311,NO1
2024-10-05,23,46.317,NO1
2024-10-05,24,46.119,NO1
2024-10-06,1,45.534,NO1
2024-10-06,2,44.366,NO1
2024-10-06,3,44.308,NO1
2024-10-06,4,43.957,NO1
2024-10-06,5,43.817,NO1
2024-10-06,6,44.086,NO1
2024-10-06,7,44.319,NO1
2024-10-06,8,45.698,NO1
2024-10-06,9,44.179,NO1
2024-10-06,10,44.366,NO1
2024-10-06,11,43.396,NO1
2024-10-06,12,37.683,NO1
2024-10-06,13,31.969,NO1
2024-10-06,14,30.637,NO1
2024-10-06,15,33.605000000000004,NO1
2024-10-06,16,39.388,NO1
2024-10-06,17,44.436,NO1
2024-10-06,18,45.359,NO1
2024-10-06,19,52.534000000000006,NO1
2024-10-06,20,54.905,NO1
2024-10-06,21,51.353,NO1
2024-10-06,22,48.28,NO1
2024-10-06,23,47.474,NO1
2024-10-06,24,46.715,NO1
2024-10-07,1,42.638,NO1
2024-10-07,2,41.192,NO1
2024-10-07,3,38.756,NO1
2024-10-07,4,35.143,NO1
2024-10-07,5,40.738,NO1
2024-10-07,6,45.645,NO1
2024-10-07,7,49.946,NO1
2024-10-07,8,57.091,NO1
2024-10-07,9,62.872,NO1
2024-10-07,10,58.268,NO1
2024-10-07,11,56.54299999999999,NO1
2024-10-07,12,54.095000000000006,NO1
2024-10-07,13,51.764,NO1
2024-10-07,14,48.897000000000006,NO1
2024-10-07,15,49.853,NO1
2024-10-07,16,50.809,NO1
2024-10-07,17,53.734,NO1
2024-10-07,18,56.287,NO1
2024-10-07,19,56.485,NO1
2024-10-07,20,55.96,NO1
2024-10-07,21,51.251,NO1
2024-10-07,22,49.596,NO1
2024-10-07,23,47.964,NO1
2024-10-07,24,46.577,NO1
2024-10-08,1,47.823,NO1
2024-10-08,2,47.379000000000005,NO1
2024-10-08,3,47.204,NO1
2024-10-08,4,47.18,NO1
2024-10-08,5,47.134,NO1
2024-10-08,6,47.73,NO1
2024-10-08,7,49.085,NO1
2024-10-08,8,56.027,NO1
2024-10-08,9,80.465,NO1
2024-10-08,10,96.266,NO1
2024-10-08,11,60.13,NO1
2024-10-08,12,55.864,NO1
2024-10-08,13,50.207,NO1
2024-10-08,14,49.085,NO1
2024-10-08,15,49.074,NO1
2024-10-08,16,49.12,NO1
2024-10-08,17,50.137,NO1
2024-10-08,18,49.156,NO1
2024-10-08,19,49.693,NO1
2024-10-08,20,50.242,NO1
2024-10-08,21,49.763,NO1
2024-10-08,22,49.085,NO1
2024-10-08,23,48.746,NO1
2024-10-08,24,48.069,NO1
2024-10-09,1,47.462,NO1
2024-10-09,2,47.25,NO1
2024-10-09,3,46.401,NO1
2024-10-09,4,46.284,NO1
2024-10-09,5,46.625,NO1
2024-10-09,6,47.191,NO1
2024-10-09,7,48.04,NO1
2024-10-09,8,48.782,NO1
2024-10-09,9,49.254000000000005,NO1
2024-10-09,10,49.159,NO1
2024-10-09,11,49.112,NO1
2024-10-09,12,49.03,NO1
2024-10-09,13,48.971,NO1
2024-10-09,14,48.735,NO1
2024-10-09,15,48.523,NO1
2024-10-09,16,48.523,NO1
2024-10-09,17,48.511,NO1
2024-10-09,18,48.877,NO1
2024-10-09,19,49.159,NO1
2024-10-09,20,49.419,NO1
2024-10-09,21,49.124,NO1
2024-10-09,22,49.03,NO1
2024-10-09,23,48.334,NO1
2024-10-09,24,47.91,NO1
2024-10-10,1,47.156,NO1
2024-10-10,2,46.637,NO1
2024-10-10,3,44.515,NO1
2024-10-10,4,37.734,NO1
2024-10-10,5,35.612,NO1
2024-10-10,6,45.93,NO1
2024-10-10,7,49.774,NO1
2024-10-10,8,51.331,NO1
2024-10-10,9,52.404,NO1
2024-10-10,10,51.637,NO1
2024-10-10,11,49.633,NO1
2024-10-10,12,44.81,NO1
2024-10-10,13,37.239,NO1
2024-10-10,14,23.466,NO1
2024-10-10,15,33.902,NO1
2024-10-10,16,43.843,NO1
2024-10-10,17,43.843,NO1
2024-10-10,18,45.081,NO1
2024-10-10,19,46.555,NO1
2024-10-10,20,45.564,NO1
2024-10-10,21,44.715,NO1
2024-10-10,22,42.97,NO1
2024-10-10,23,38.902,NO1
2024-10-10,24,38.477,NO1
2024-10-11,1,40.747,NO1
2024-10-11,2,40.759,NO1
2024-10-11,3,41.193,NO1
2024-10-11,4,42.121,NO1
2024-10-11,5,42.156,NO1
2024-10-11,6,43.154,NO1
2024-10-11,7,48.507,NO1
2024-10-11,8,54.517,NO1
2024-10-11,9,57.511,NO1
2024-10-11,10,56.983,NO1
2024-10-11,11,54.729,NO1
2024-10-11,12,51.148,NO1
2024-10-11,13,49.81,NO1
2024-10-11,14,48.824,NO1
2024-10-11,15,47.11,NO1
2024-10-11,16,46.922,NO1
2024-10-11,17,48.096,NO1
2024-10-11,18,51.58200000000001,NO1
2024-10-11,19,51.324,NO1
2024-10-11,20,51.16,NO1
2024-10-11,21,50.62,NO1
2024-10-11,22,50.585,NO1
2024-10-11,23,50.209,NO1
2024-10-11,24,49.434,NO1
2024-10-12,1,44.527,NO1
2024-10-12,2,43.717,NO1
2024-10-12,3,43.611,NO1
2024-10-12,4,43.482,NO1
2024-10-12,5,43.541,NO1
2024-10-12,6,44.011,NO1
2024-10-12,7,44.245,NO1
2024-10-12,8,46.687,NO1
2024-10-12,9,46.899,NO1
2024-10-12,10,46.887,NO1
2024-10-12,11,43.471,NO1
2024-10-12,12,40.242,NO1
2024-10-12,13,31.32,NO1
2024-10-12,14,21.319,NO1
2024-10-12,15,35.946,NO1
2024-10-12,16,41.451,NO1
2024-10-12,17,44.175,NO1
2024-10-12,18,46.37,NO1
2024-10-12,19,47.791,NO1
2024-10-12,20,47.051,NO1
2024-10-12,21,45.525,NO1
2024-10-12,22,45.22,NO1
2024-10-12,23,41.076,NO1
2024-10-12,24,30.733,NO1
2024-10-13,1,0.0,NO1
2024-10-13,2,-0.012,NO1
2024-10-13,3,-0.0819999999999999,NO1
2024-10-13,4,-0.434,NO1
2024-10-13,5,-0.599,NO1
2024-10-13,6,-0.106,NO1
2024-10-13,7,-0.012,NO1
2024-10-13,8,2.0780000000000003,NO1
2024-10-13,9,21.718,NO1
2024-10-13,10,11.915,NO1
2024-10-13,11,5.94,NO1
2024-10-13,12,7.513,NO1
2024-10-13,13,7.712999999999999,NO1
2024-10-13,14,8.581,NO1
2024-10-13,15,9.579,NO1
2024-10-13,16,15.332,NO1
2024-10-13,17,29.865,NO1
2024-10-13,18,36.638,NO1
2024-10-13,19,41.052,NO1
2024-10-13,20,47.192,NO1
2024-10-13,21,46.382,NO1
2024-10-13,22,45.114,NO1
2024-10-13,23,45.079,NO1
2024-10-13,24,43.212,NO1
2024-10-14,1,43.58,NO1
2024-10-14,2,41.406,NO1
2024-10-14,3,41.312,NO1
2024-10-14,4,41.653,NO1
2024-10-14,5,45.107,NO1
2024-10-14,6,48.701,NO1
2024-10-14,7,51.943,NO1
2024-10-14,8,58.65,NO1
2024-10-14,9,62.585,NO1
2024-10-14,10,61.657,NO1
2024-10-14,11,58.17999999999999,NO1
2024-10-14,12,54.422,NO1
2024-10-14,13,53.27,NO1
2024-10-14,14,52.143,NO1
2024-10-14,15,52.154,NO1
2024-10-14,16,52.894000000000005,NO1
2024-10-14,17,54.351,NO1
2024-10-14,18,57.123000000000005,NO1
2024-10-14,19,60.307,NO1
2024-10-14,20,62.809000000000005,NO1
2024-10-14,21,56.066,NO1
2024-10-14,22,52.812,NO1
2024-10-14,23,51.802,NO1
2024-10-14,24,49.77,NO1
2024-10-15,1,51.382000000000005,NO1
2024-10-15,2,50.806,NO1
2024-10-15,3,50.57,NO1
2024-10-15,4,50.57,NO1
2024-10-15,5,50.676,NO1
2024-10-15,6,51.382000000000005,NO1
2024-10-15,7,57.065,NO1
2024-10-15,8,152.193,NO1
2024-10-15,9,194.904,NO1
2024-10-15,10,125.167,NO1
2024-10-15,11,70.019,NO1
2024-10-15,12,56.924,NO1
2024-10-15,13,56.018,NO1
2024-10-15,14,55.206,NO1
2024-10-15,15,53.229,NO1
2024-10-15,16,53.147000000000006,NO1
2024-10-15,17,53.559000000000005,NO1
2024-10-15,18,57.018,NO1
2024-10-15,19,71.325,NO1
2024-10-15,20,72.431,NO1
2024-10-15,21,57.03,NO1
2024-10-15,22,57.077,NO1
2024-10-15,23,53.194,NO1
2024-10-15,24,47.982,NO1
2024-10-16,1,40.786,NO1
2024-10-16,2,15.602,NO1
2024-10-16,3,6.444,NO1
2024-10-16,4,4.39,NO1
2024-10-16,5,3.835,NO1
2024-10-16,6,17.714,NO1
2024-10-16,7,40.975,NO1
2024-10-16,8,52.068,NO1
2024-10-16,9,54.794,NO1
2024-10-16,10,47.442,NO1
2024-10-16,11,40.161,NO1
2024-10-16,12,23.556,NO1
2024-10-16,13,4.992,NO1
2024-10-16,14,3.4810000000000003,NO1
2024-10-16,15,4.8740000000000006,NO1
2024-10-16,16,22.199,NO1
2024-10-16,17,37.706,NO1
2024-10-16,18,41.6,NO1
2024-10-16,19,43.89,NO1
2024-10-16,20,43.099,NO1
2024-10-16,21,42.308,NO1
2024-10-16,22,40.751,NO1
2024-10-16,23,38.284,NO1
2024-10-16,24,32.183,NO1
2024-10-17,1,20.885,NO1
2024-10-17,2,14.854,NO1
2024-10-17,3,12.812,NO1
2024-10-17,4,6.863,NO1
2024-10-17,5,12.242,NO1
2024-10-17,6,34.398,NO1
2024-10-17,7,42.899,NO1
2024-10-17,8,46.152,NO1
2024-10-17,9,47.411,NO1
2024-10-17,10,46.651,NO1
2024-10-17,11,45.665,NO1
2024-10-17,12,45.689,NO1
2024-10-17,13,46.259,NO1
2024-10-17,14,47.138,NO1
2024-10-17,15,48.61,NO1
2024-10-17,16,47.423,NO1
2024-10-17,17,47.126,NO1
2024-10-17,18,47.352,NO1
2024-10-17,19,47.933,NO1
2024-10-17,20,49.228,NO1
2024-10-17,21,48.788,NO1
2024-10-17,22,48.503,NO1
2024-10-17,23,48.907,NO1
2024-10-17,24,47.067,NO1
2024-10-18,1,46.596,NO1
2024-10-18,2,46.478,NO1
2024-10-18,3,46.337,NO1
2024-10-18,4,46.242,NO1
2024-10-18,5,46.301,NO1
2024-10-18,6,47.163,NO1
2024-10-18,7,49.927,NO1
2024-10-18,8,51.085,NO1
2024-10-18,9,51.179,NO1
2024-10-18,10,50.069,NO1
2024-10-18,11,49.396,NO1
2024-10-18,12,50.069,NO1
2024-10-18,13,49.821,NO1
2024-10-18,14,49.419,NO1
2024-10-18,15,49.301,NO1
2024-10-18,16,48.226,NO1
2024-10-18,17,49.62,NO1
2024-10-18,18,50.589,NO1
2024-10-18,19,50.801,NO1
2024-10-18,20,50.388,NO1
2024-10-18,21,49.821,NO1
2024-10-18,22,49.065,NO1
2024-10-18,23,46.927,NO1
2024-10-18,24,45.356,NO1
2024-10-19,1,46.596,NO1
2024-10-19,2,46.348,NO1
2024-10-19,3,46.112,NO1
2024-10-19,4,45.982,NO1
2024-10-19,5,45.510000000000005,NO1
2024-10-19,6,45.876,NO1
2024-10-19,7,45.864,NO1
2024-10-19,8,46.277,NO1
2024-10-19,9,47.152,NO1
2024-10-19,10,47.754000000000005,NO1
2024-10-19,11,48.344,NO1
2024-10-19,12,48.262,NO1
2024-10-19,13,48.356,NO1
2024-10-19,14,48.333,NO1
2024-10-19,15,48.309,NO1
2024-10-19,16,48.155,NO1
2024-10-19,17,48.9,NO1
2024-10-19,18,51.073,NO1
2024-10-19,19,51.746,NO1
2024-10-19,20,52.101,NO1
2024-10-19,21,51.203,NO1
2024-10-19,22,49.549,NO1
2024-10-19,23,48.746,NO1
2024-10-19,24,47.529,NO1
2024-10-20,1,41.506,NO1
2024-10-20,2,41.104,NO1
2024-10-20,3,40.856,NO1
2024-10-20,4,39.899,NO1
2024-10-20,5,39.639,NO1
2024-10-20,6,38.305,NO1
2024-10-20,7,38.068,NO1
2024-10-20,8,41.907,NO1
2024-10-20,9,42.462,NO1
2024-10-20,10,39.096,NO1
2024-10-20,11,29.08,NO1
2024-10-20,12,0.094,NO1
2024-10-20,13,0.0,NO1
2024-10-20,14,-1.158,NO1
2024-10-20,15,-2.374,NO1
2024-10-20,16,0.0,NO1
2024-10-20,17,31.371,NO1
2024-10-20,18,40.147000000000006,NO1
2024-10-20,19,45.108,NO1
2024-10-20,20,42.592,NO1
2024-10-20,21,39.309,NO1
2024-10-20,22,25.489,NO1
2024-10-20,23,14.481,NO1
2024-10-20,24,2.303,NO1
2024-10-21,1,-0.107,NO1
2024-10-21,2,-0.118,NO1
2024-10-21,3,-0.1659999999999999,NO1
2024-10-21,4,-0.095,NO1
2024-10-21,5,-0.047,NO1
2024-10-21,6,3.954,NO1
2024-10-21,7,30.731,NO1
2024-10-21,8,32.519,NO1
2024-10-21,9,36.568,NO1
2024-10-21,10,37.017,NO1
2024-10-21,11,35.206,NO1
2024-10-21,12,34.117000000000004,NO1
2024-10-21,13,35.396,NO1
2024-10-21,14,36.568,NO1
2024-10-21,15,40.214,NO1
2024-10-21,16,42.167,NO1
2024-10-21,17,42.262,NO1
2024-10-21,18,42.996,NO1
2024-10-21,19,43.09,NO1
2024-10-21,20,42.356,NO1
2024-10-21,21,42.617,NO1
2024-10-21,22,42.143,NO1
2024-10-21,23,40.9,NO1
2024-10-21,24,40.427,NO1
2024-10-22,1,36.805,NO1
2024-10-22,2,36.297,NO1
2024-10-22,3,36.533,NO1
2024-10-22,4,36.521,NO1
2024-10-22,5,36.391000000000005,NO1
2024-10-22,6,36.923,NO1
2024-10-22,7,38.85,NO1
2024-10-22,8,41.215,NO1
2024-10-22,9,41.972,NO1
2024-10-22,10,41.983,NO1
2024-10-22,11,42.007,NO1
2024-10-22,12,41.617,NO1
2024-10-22,13,39.11,NO1
2024-10-22,14,36.864,NO1
2024-10-22,15,35.327,NO1
2024-10-22,16,36.427,NO1
2024-10-22,17,38.839,NO1
2024-10-22,18,41.96,NO1
2024-10-22,19,41.972,NO1
2024-10-22,20,42.019,NO1
2024-10-22,21,41.983,NO1
2024-10-22,22,41.652,NO1
2024-10-22,23,40.541,NO1
2024-10-22,24,38.165,NO1
2024-10-23,1,35.629000000000005,NO1
2024-10-23,2,31.160000000000004,NO1
2024-10-23,3,28.541000000000004,NO1
2024-10-23,4,28.245,NO1
2024-10-23,5,28.47,NO1
2024-10-23,6,31.824,NO1
2024-10-23,7,36.778,NO1
2024-10-23,8,38.141000000000005,NO1
2024-10-23,9,38.521,NO1
2024-10-23,10,38.260000000000005,NO1
2024-10-23,11,38.212,NO1
2024-10-23,12,38.201,NO1
2024-10-23,13,37.489,NO1
2024-10-23,14,37.229,NO1
2024-10-23,15,37.347,NO1
2024-10-23,16,36.79,NO1
2024-10-23,17,37.324,NO1
2024-10-23,18,37.501,NO1
2024-10-23,19,37.809,NO1
2024-10-23,20,37.679,NO1
2024-10-23,21,37.632,NO1
2024-10-23,22,37.62,NO1
2024-10-23,23,36.731,NO1
2024-10-23,24,36.257,NO1
2024-10-24,1,27.991000000000003,NO1
2024-10-24,2,26.538,NO1
2024-10-24,3,22.733,NO1
2024-10-24,4,22.733,NO1
2024-10-24,5,22.733,NO1
2024-10-24,6,22.733,NO1
2024-10-24,7,20.37,NO1
2024-10-24,8,32.599000000000004,NO1
2024-10-24,9,37.644,NO1
2024-10-24,10,43.682,NO1
2024-10-24,11,38.944,NO1
2024-10-24,12,36.793,NO1
2024-10-24,13,35.352,NO1
2024-10-24,14,34.915,NO1
2024-10-24,15,35.104,NO1
2024-10-24,16,35.163,NO1
2024-10-24,17,35.423,NO1
2024-10-24,18,38.826,NO1
2024-10-24,19,41.531,NO1
2024-10-24,20,41.260000000000005,NO1
2024-10-24,21,35.364,NO1
2024-10-24,22,32.705,NO1
2024-10-24,23,29.48,NO1
2024-10-24,24,15.678999999999998,NO1
2024-10-25,1,6.82,NO1
2024-10-25,2,5.933,NO1
2024-10-25,3,4.751,NO1
2024-10-25,4,3.841,NO1
2024-10-25,5,4.751,NO1
2024-10-25,6,5.981,NO1
2024-10-25,7,26.074,NO1
2024-10-25,8,37.019,NO1
2024-10-25,9,47.479,NO1
2024-10-25,10,40.789,NO1
2024-10-25,11,37.432,NO1
2024-10-25,12,34.253,NO1
2024-10-25,13,32.515,NO1
2024-10-25,14,29.915,NO1
2024-10-25,15,28.32,NO1
2024-10-25,16,27.067,NO1
2024-10-25,17,30.624,NO1
2024-10-25,18,32.492000000000004,NO1
2024-10-25,19,35.695,NO1
2024-10-25,20,30.376,NO1
2024-10-25,21,26.842,NO1
2024-10-25,22,26.074,NO1
2024-10-25,23,24.951,NO1
2024-10-25,24,24.407,NO1
2024-10-26,1,15.259,NO1
2024-10-26,2,11.796,NO1
2024-10-26,3,9.054,NO1
2024-10-26,4,8.841,NO1
2024-10-26,5,6.712999999999999,NO1
2024-10-26,6,11.453,NO1
2024-10-26,7,16.747999999999998,NO1
2024-10-26,8,22.894,NO1
2024-10-26,9,29.1,NO1
2024-10-26,10,33.083,NO1
2024-10-26,11,33.485,NO1
2024-10-26,12,33.495999999999995,NO1
2024-10-26,13,33.733,NO1
2024-10-26,14,33.343,NO1
2024-10-26,15,33.414,NO1
2024-10-26,16,33.508,NO1
2024-10-26,17,31.783,NO1
2024-10-26,18,33.154,NO1
2024-10-26,19,33.898,NO1
2024-10-26,20,33.366,NO1
2024-10-26,21,28.142000000000003,NO1
2024-10-26,22,23.001,NO1
2024-10-26,23,14.278,NO1
2024-10-26,24,5.532,NO1
2024-10-27,1,4.976,NO1
2024-10-27,2,4.787,NO1
2024-10-27,3,1.3005,NO1
2024-10-27,4,1.182,NO1
2024-10-27,5,1.182,NO1
2024-10-27,6,1.182,NO1
2024-10-27,7,1.182,NO1
2024-10-27,8,4.432,NO1
2024-10-27,9,5.26,NO1
2024-10-27,10,5.815,NO1
2024-10-27,11,5.91,NO1
2024-10-27,12,5.839,NO1
2024-10-27,13,5.1770000000000005,NO1
2024-10-27,14,5.283,NO1
2024-10-27,15,5.413,NO1
2024-10-27,16,5.331,NO1
2024-10-27,17,5.673,NO1
2024-10-27,18,7.056,NO1
2024-10-27,19,12.954,NO1
2024-10-27,20,12.056,NO1
2024-10-27,21,7.931,NO1
2024-10-27,22,5.65,NO1
2024-10-27,23,20.885,NO1
2024-10-27,24,19.408,NO1
2024-10-28,1,12.15,NO1
2024-10-28,2,12.019,NO1
2024-10-28,3,12.019,NO1
2024-10-28,4,12.055,NO1
2024-10-28,5,12.162,NO1
2024-10-28,6,12.472,NO1
2024-10-28,7,20.262,NO1
2024-10-28,8,26.993,NO1
2024-10-28,9,25.504,NO1
2024-10-28,10,25.337,NO1
2024-10-28,11,23.848,NO1
2024-10-28,12,23.062,NO1
2024-10-28,13,22.359,NO1
2024-10-28,14,21.477,NO1
2024-10-28,15,21.62,NO1
2024-10-28,16,23.86,NO1
2024-10-28,17,27.183,NO1
2024-10-28,18,32.698,NO1
2024-10-28,19,35.617000000000004,NO1
2024-10-28,20,29.315,NO1
2024-10-28,21,27.660000000000004,NO1
2024-10-28,22,24.038,NO1
2024-10-28,23,21.608,NO1
2024-10-28,24,16.593,NO1
2024-10-29,1,20.924,NO1
2024-10-29,2,17.502000000000002,NO1
2024-10-29,3,17.158,NO1
2024-10-29,4,17.490000000000002,NO1
2024-10-29,5,17.833000000000002,NO1
2024-10-29,6,23.991,NO1
2024-10-29,7,34.636,NO1
2024-10-29,8,180.985,NO1
2024-10-29,9,165.864,NO1
2024-10-29,10,148.81199999999998,NO1
2024-10-29,11,138.498,NO1
2024-10-29,12,124.573,NO1
2024-10-29,13,114.602,NO1
2024-10-29,14,59.361,NO1
2024-10-29,15,35.596,NO1
2024-10-29,16,27.555,NO1
2024-10-29,17,26.999,NO1
2024-10-29,18,27.555,NO1
2024-10-29,19,26.525,NO1
2024-10-29,20,26.324,NO1
2024-10-29,21,25.921,NO1
2024-10-29,22,24.938,NO1
2024-10-29,23,24.086,NO1
2024-10-29,24,21.208,NO1
2024-10-30,1,1.461,NO1
2024-10-30,2,1.414,NO1
2024-10-30,3,1.1880000000000002,NO1
2024-10-30,4,1.212,NO1
2024-10-30,5,1.366,NO1
2024-10-30,6,2.649,NO1
2024-10-30,7,3.754,NO1
2024-10-30,8,7.412000000000001,NO1
2024-10-30,9,20.288,NO1
2024-10-30,10,10.299,NO1
2024-10-30,11,7.543000000000001,NO1
2024-10-30,12,7.353,NO1
2024-10-30,13,13.053999999999998,NO1
2024-10-30,14,14.456,NO1
2024-10-30,15,14.195,NO1
2024-10-30,16,9.966,NO1
2024-10-30,17,32.143,NO1
2024-10-30,18,32.048,NO1
2024-10-30,19,34.614,NO1
2024-10-30,20,39.175,NO1
2024-10-30,21,38.237,NO1
2024-10-30,22,26.192,NO1
2024-10-30,23,14.23,NO1
2024-10-30,24,11.19,NO1
2024-10-31,1,3.964,NO1
2024-10-31,2,4.119,NO1
2024-10-31,3,4.883,NO1
2024-10-31,4,5.635,NO1
2024-10-31,5,6.268,NO1
2024-10-31,6,7.462000000000001,NO1
2024-10-31,7,27.781,NO1
2024-10-31,8,29.93,NO1
2024-10-31,9,28.724,NO1
2024-10-31,10,24.307,NO1
2024-10-31,11,22.623,NO1
2024-10-31,12,18.505000000000003,NO1
2024-10-31,13,12.607,NO1
2024-10-31,14,11.676,NO1
2024-10-31,15,11.628,NO1
2024-10-31,16,11.389,NO1
2024-10-31,17,11.473,NO1
2024-10-31,18,13.359,NO1
2024-10-31,19,11.592,NO1
2024-10-31,20,10.757,NO1
2024-10-31,21,9.419,NO1
2024-10-31,22,6.674,NO1
2024-10-31,23,5.348,NO1
2024-10-31,24,4.167,NO1
2024-11-01,1,2.045,NO1
2024-11-01,2,1.627,NO1
2024-11-01,3,1.22,NO1
2024-11-01,4,1.076,NO1
2024-11-01,5,1.052,NO1
2024-11-01,6,1.184,NO1
2024-11-01,7,2.2960000000000003,NO1
2024-11-01,8,3.588,NO1
2024-11-01,9,3.875,NO1
2024-11-01,10,3.002,NO1
2024-11-01,11,2.787,NO1
2024-11-01,12,2.356,NO1
2024-11-01,13,2.332,NO1
2024-11-01,14,2.284,NO1
2024-11-01,15,2.332,NO1
2024-11-01,16,2.811,NO1
2024-11-01,17,7.654000000000001,NO1
2024-11-01,18,10.919,NO1
2024-11-01,19,14.484,NO1
2024-11-01,20,9.353,NO1
2024-11-01,21,10.034,NO1
2024-11-01,22,2.368,NO1
2024-11-01,23,2.225,NO1
2024-11-01,24,1.973,NO1
2024-11-02,1,3.4090000000000003,NO1
2024-11-02,2,3.098,NO1
2024-11-02,3,3.014,NO1
2024-11-02,4,2.858,NO1
2024-11-02,5,2.691,NO1
2024-11-02,6,2.846,NO1
2024-11-02,7,3.504,NO1
2024-11-02,8,9.03,NO1
2024-11-02,9,15.213,NO1
2024-11-02,10,15.847,NO1
2024-11-02,11,15.715,NO1
2024-11-02,12,29.481,NO1
2024-11-02,13,30.115,NO1
2024-11-02,14,31.275,NO1
2024-11-02,15,33.081,NO1
2024-11-02,16,36.346,NO1
2024-11-02,17,53.437,NO1
2024-11-02,18,47.134,NO1
2024-11-02,19,41.25,NO1
2024-11-02,20,32.208,NO1
2024-11-02,21,15.07,NO1
2024-11-02,22,8.061,NO1
2024-11-02,23,6.399,NO1
2024-11-02,24,5.956,NO1
2024-11-03,1,7.427,NO1
2024-11-03,2,7.212000000000001,NO1
2024-11-03,3,6.781000000000001,NO1
2024-11-03,4,6.745,NO1
2024-11-03,5,6.722,NO1
2024-11-03,6,6.745,NO1
2024-11-03,7,7.26,NO1
2024-11-03,8,9.568,NO1
2024-11-03,9,9.963,NO1
2024-11-03,10,7.965000000000001,NO1
2024-11-03,11,7.929,NO1
2024-11-03,12,7.858,NO1
